,place,rate,address,store_date,store_time,price,커피가맛있어요,음료가맛있어요,인테리어가멋져요,대화하기좋아요,디저트가맛있어요,뷰가좋아요,사진이잘나와요,친절해요,집중하기좋아요,음식이맛있어요,매장이넓어요,매장이청결해요,주차하기편해요,빵이맛있어요,특별한메뉴가있어요,가성비가좋아요,재료가신선해요,좌석이편해요,차가맛있어요
0,토크넌센스,-1.0,서울 동작구 흑석로8길 7 Talk nonsense,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '정기휴무 (매주 일요일)']",4000.0,12,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,THE한강,4.63,서울 동작구 노량진로32길 29-6,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더']",3500.0,132,66,0,0,0,215,57,52,0,0,0,0,0,0,0,0,0,0,0
2,잔디속에있다고상상을해,-1.0,서울 동작구 상도로 265-30 2층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 21:00\n20:30 라스트오더']",4500.0,22,13,16,0,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0
3,뚜스뚜스 흑석역점,4.33,서울 동작구 현충로 75 원불교기념관 1층,['매일'],['07:00 - 23:30'],-1.0,0,0,93,0,0,0,0,0,0,402,274,104,100,0,0,0,0,0,0
4,브레드숨,4.41,서울 동작구 노량진로18길 37,"['월', '화', '수', '목', '금', '토', '일']","['10:30 - 19:30', '10:30 - 19:30', '10:30 - 19:30', '10:30 - 19:30', '10:30 - 19:30', '정보없음', '정기휴무 (매주 일요일)']",2300.0,0,0,0,0,0,0,0,52,0,0,0,15,0,205,47,21,0,0,0
5,모녀당 상도점,-1.0,서울 동작구 양녕로 272 2층,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 20:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00']",3000.0,26,0,0,10,40,0,0,17,0,0,0,10,0,0,0,0,0,0,0
6,프랑세즈,4.59,서울 동작구 현충로 96,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '정기휴무 (매주 일요일)']",1800.0,91,0,0,0,0,0,0,145,0,0,0,66,0,374,92,0,0,0,0
7,터방내,4.48,서울 동작구 흑석로 101-7,['매일'],['11:00 - 24:00'],3000.0,75,0,49,44,0,0,0,40,0,0,0,0,0,0,48,0,0,0,0
8,컵오브커브,-1.0,서울 동작구 현충로 99 1층,"['월', '화', '수', '목', '금', '토', '일']","['15:00 - 24:00', '15:00 - 24:00', '15:00 - 24:00', '15:00 - 24:00', '15:00 - 24:00', '12:00 - 24:00', '12:00 - 24:00']",4000.0,7,11,21,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,0
9,페이브베이커리 흑석점,4.38,서울 동작구 서달로14가길 1,['매일'],['09:00 - 21:40'],-1.0,155,73,0,0,106,0,0,51,0,0,0,63,0,0,0,0,0,0,0
10,토크넌센스,-1.0,서울 동작구 흑석로8길 7 Talk nonsense,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '정기휴무 (매주 일요일)']",4000.0,12,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,오후홍콩,4.46,서울 동작구 흑석로13가길 29 오후홍콩,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00']",3500.0,28,25,0,11,24,0,0,11,0,0,0,0,0,0,0,0,0,0,0
12,베브릿지 중앙대점,4.48,서울 동작구 흑석로9길 4 1층 베브릿지 중앙대점,['매일'],['10:00 - 22:00'],-1.0,60,82,0,0,32,0,0,29,0,0,0,0,0,0,38,0,0,0,0
13,액션커피,-1.0,서울 동작구 서달로15길 23 104호 액션커피,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '정기휴무 (매주 일요일)']",4500.0,24,0,7,0,8,0,0,11,0,0,0,0,0,0,14,0,0,0,0
14,브라운필 빵공장,-1.0,서울 동작구 흑석로 11 1층,['매일'],['07:30 - 23:00'],3000.0,19,7,0,0,0,0,0,5,0,0,0,0,0,38,5,0,0,0,0
15,커스텀요거트,4.91,서울 동작구 흑석로 91 1층 커스텀요거트,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '12:00 - 19:00', '정기휴무 (매주 일요일)']",-1.0,0,0,0,0,183,0,0,186,0,0,0,111,0,0,136,98,0,0,0
16,아츠베이커리,4.69,서울 동작구 현충로 52,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '정기휴무 (매주 토요일)', '정기휴무 (매주 일요일)']",2000.0,0,0,9,0,0,0,0,29,0,0,0,24,0,52,24,0,0,0,0
17,펠어커피 상도점,4.66,서울 동작구 상도로41가길 12 1층 펠어커피,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00']",3300.0,24,21,0,10,13,0,0,19,0,0,0,0,0,0,0,0,0,0,0
18,히뽀1997,4.6,서울 동작구 노량진로24길 36,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '정기휴무 (매주 화요일)', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00']",-1.0,11,11,15,0,0,0,0,24,0,0,0,0,0,44,0,0,0,0,0
