place,0,1,2,3,4,5,6,7,8,9
THE한강,커피인더스터디,GOODDAY COFFEE,빅토리아가든,셀렉토커피 상도두산점,st.535로스터리카페,스타벅스 중앙대점,하드앤빈스,카페모찌 중앙대점,카페 빈,이디야커피 중앙대점
잔디속에있다고상상을해,할리스 중앙대점,토크넌센스,오카페 흑석점,그루비,이디야 중앙대후문점,위드커피,델리앤젤라또 중앙대병원점,스타벅스 숭실대점,오후홍콩,페이브베이커리 흑석점
뚜스뚜스 흑석역점,"카페,로뎀",그랩커피&브런치,매머드커피 상도역점,컵오브커브,배스킨라빈스 흑석DT,앳더블랑,바로요거,커피콩클럽,던킨 흑석DT점,커피더캠프 흑석역점
브레드숨,브레드덕,가춘,참베이커리,우리동네 식빵해적단,오롯이 굽다,언니의식빵가게,파리바게뜨 중앙대점,우리동네식빵,리치몽브레 흑석점,엘리스파이
모녀당 상도점,베이커즈원,카페미뇽 중앙대점,드웨이,던킨 중앙대병원점,베러댄와플 중앙대점,던킨 흑석DT점,커피나무 중앙대정문점,요세프,브릿지엣지,카페 러브구스토
프랑세즈,블랑제리꾸끄,참베이커리,오롯이 굽다,뚜레쥬르 상도래미안점,브레드숨,가춘,파리바게뜨 노들역점,파리바게뜨 중앙대점,브레드덕,엘리스파이
터방내,액션커피,카페 루반,빅토리아가든,라임플레쉬카페,커피브라운,카페숨,st.535로스터리카페,바리스타조앤,커피집,커피인더스터디
컵오브커브,잔디속에있다고상상을해,커피더캠프 흑석역점,토크넌센스,그루비,커피콩클럽,블루버블 버블티,카페찌미스,배스킨라빈스 흑석DT,st.535로스터리카페,바로요거
페이브베이커리 흑석점,카페잇 중앙대병원점,델리앤젤라또 중앙대병원점,스타벅스 중앙대점,스타벅스 숭실대입구역점,던킨 중앙대병원점,카페디차,스노우플라워,커피나무 중앙대정문점,카페노들수,카페비온후
토크넌센스,탐앤탐스 중앙대점,빅토리아가든,할리스 중앙대점,잔디속에있다고상상을해,하드앤빈스,델리앤젤라또 중앙대병원점,그루비,바리스타조앤,오카페 흑석점,오후홍콩
오후홍콩,펠어커피 상도점,요거프레소 중앙대점,카페노들수,델리앤젤라또 중앙대병원점,카페잇 중앙대병원점,"카페, 순",커피나무 상도점,페이브베이커리 흑석점,스노우플라워,커피나무 중앙대정문점
베브릿지 중앙대점,유프카페 중앙대후문점,아마스빈 중앙대점,"카페, 순",요거프레소 중앙대점,비틀쥬스 중앙대학교병원점,오후홍콩,펠어커피 상도점,카페 더테이블,이디야커피 숭실대역점,카페비온후
액션커피,카페비온후,커피집,카페 더테이블,스노우플라워,터방내,요세프,"카페, 순",갓프레소 본점,커피향기,커피나무 상도점
브라운필 빵공장,63베이커리,프랑세즈,뚜레쥬르 중앙대100주년관점,파리바게트 상도역점,뚜레쥬르 상도래미안점,블랑제리꾸끄,엘리스파이,언니의식빵가게,BGT호두단팥빵 숭실대역점,우리동네식빵
커스텀요거트,브릿지엣지,배스킨라빈스 중앙대,배스킨라빈스 숭실대점,이레호두,요세프,크로플덕 오리아가씨 서울대입구점,러윗츠,카페 러브구스토,배스킨라빈스 흑석DT,바로요거
아츠베이커리,블랑제리꾸끄,프랑세즈,파리바게뜨 상도건영점,참베이커리,오롯이 굽다,브레드숨,파리바게뜨 중앙대점,파리바게뜨 노들역점,엘리스파이,가춘
펠어커피 상도점,오후홍콩,커피나무 상도점,카페노들수,카페디차,카페숨,카페린91,셀렉토커피 상도두산점,위드커피,카페힐우드,요거프레소 중앙대점
히뽀1997,파리바게뜨 노들역점,뚜레쥬르 상도래미안점,리치몽브레 흑석점,프랑세즈,63베이커리,언니의식빵가게,오롯이 굽다,파리바게뜨 중앙대점,블랑제리꾸끄,가춘
베러댄와플 중앙대점,멜로드,커피나무 중앙대정문점,카페미뇽 중앙대점,이레호두,모녀당 상도점,던킨 중앙대병원점,설빙 서울중앙대점,크로플덕 오리아가씨 서울대입구점,드웨이,스노우플라워
"카페,로뎀",그랩커피&브런치,뚜스뚜스 흑석역점,더웨이,매머드커피 상도역점,어펜딕스,카페찌미스,러윗츠,문커피,보트커피,중앙대학교경영관카페드림
드웨이,던킨 흑석DT점,바로요거,앳더블랑,모녀당 상도점,카페미뇽 중앙대점,커피콩클럽,던킨 중앙대병원점,브릿지엣지,베러댄와플 중앙대점,베이커즈원
가춘,참베이커리,브레드숨,브레드덕,파리바게뜨 중앙대점,오롯이 굽다,우리동네 식빵해적단,언니의식빵가게,우리동네식빵,리치몽브레 흑석점,뚜레쥬르 상도래미안점
우리동네 식빵해적단,참베이커리,가춘,브레드덕,브레드숨,파리바게뜨 중앙대점,우리동네식빵,오롯이 굽다,BGT호두단팥빵 숭실대역점,언니의식빵가게,뚜레쥬르 상도래미안점
블랑제리꾸끄,프랑세즈,참베이커리,브레드숨,엘리스파이,오롯이 굽다,아츠베이커리,가춘,브레드덕,파리바게뜨 노들역점,파리바게뜨 중앙대점
이공커피 흑석본점,커피킹,빽다방 숭실대점,달콩커피,메가MGC커피 숭실대입구역점,메가MGC커피 상도중앙점,이디야커피 상도중앙점,중앙대학교경영관카페드림,문커피,컴포즈커피 중앙대점,더치앤빈 흑리단길점
커피나무 랩,베이커즈원,LITITCOFFEE,투앤나인,카페 러브구스토,스타벅스 숭실대입구역점,오티움 로스터리,커피콩클럽,흑석커피,요세프,브라운필투
러윗츠,아츠베이커리,커스텀요거트,스마일꽈배기,블랑제리꾸끄,프랑세즈,경성찹쌀꽈배기 상도역점,오롯이 굽다,참베이커리,파리바게뜨 노들역점,브레드숨
컴포즈커피 중앙대점,메가MGC커피 상도중앙점,메가MGC커피 숭실대입구역점,매머드익스프레스 중앙대후문점,블루포트 중앙대학교301관점,매머드익스프레스 중앙대점,메가MGC커피 중앙대점,더벤티 중앙대점,카페드림 중앙대법학관점,마린커피,이공커피 흑석본점
설빙 서울중앙대점,크로플덕 오리아가씨 서울대입구점,카페미뇽 중앙대점,배스킨라빈스 중앙대,베러댄와플 중앙대점,배스킨라빈스 숭실대점,이레호두,"카페, 순",유프카페 중앙대후문점,카페 더테이블,던킨 중앙대병원점
앳더블랑,바로요거,커피콩클럽,드웨이,던킨 흑석DT점,베이커즈원,브릿지엣지,던킨 중앙대병원점,카페 러브구스토,배스킨라빈스 흑석DT,요세프
유프카페 중앙대후문점,"카페, 순",카페 더테이블,베브릿지 중앙대점,비틀쥬스 중앙대학교병원점,스노우플라워,카페비온후,카페노들수,멜로드,펠어커피 상도점,오후홍콩
그랩커피&브런치,"카페,로뎀",뚜스뚜스 흑석역점,더웨이,카페찌미스,매머드커피 상도역점,어펜딕스,바로요거,러윗츠,문커피,보트커피
"카페, 순",카페 더테이블,스노우플라워,카페비온후,유프카페 중앙대후문점,카페노들수,커피나무 중앙대정문점,카페잇 중앙대병원점,오후홍콩,베브릿지 중앙대점,페이브베이커리 흑석점
