place,tag_title,tag_count
상도중앙작은도서관북카페,[],[]
지오북카페,"['커피가 맛있어요', '집중하기 좋아요', '읽을만한 책이 많아요', '좌석이 편해요', '음료가 맛있어요']","[7, 7, 4, 4, 4]"
청맥살롱,"['친절해요', '커피가 맛있어요', '집중하기 좋아요', '대화하기 좋아요', '좌석이 편해요']","[12, 10, 10, 10, 7]"
자상한시간,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '집중하기 좋아요', '대화하기 좋아요']","[11, 6, 3, 3, 3]"
채그로,"['뷰가 좋아요', '커피가 맛있어요', '인테리어가 멋져요', '읽을만한 책이 많아요', '집중하기 좋아요']","[26, 17, 13, 12, 11]"
세상과연애하기,[],[]
심산북카페,[],[]
북카페산책 고용플러스점,[],[]
서울북카페 욕망의북카페,"['집중하기 좋아요', '읽을만한 책이 많아요', '좌석이 편해요', '친절해요', '화장실이 깨끗해요']","[282, 179, 173, 162, 132]"
북카페 청마루,[],[]
카페 마당,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '친절해요', '특별한 메뉴가 있어요']","[45, 44, 38, 36, 34]"
북카페 다독다독,"['가성비가 좋아요', '커피가 맛있어요', '음료가 맛있어요', '친절해요', '읽을만한 책이 많아요']","[30, 28, 17, 14, 10]"
북카페 산책,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '인테리어가 멋져요', '집중하기 좋아요']","[37, 31, 30, 21, 14]"
북파크라운지,[],[]
엠북카페,"['커피가 맛있어요', '집중하기 좋아요', '친절해요', '음료가 맛있어요', '인테리어가 멋져요']","[15, 12, 10, 8, 8]"
할리스 공덕역북카페점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '대화하기 좋아요', '친절해요']","[139, 51, 39, 38, 36]"
북카페 피터캣,[],[]
마음마루,[],[]
수만화카페,[],[]
법원행정처 북카페,"['커피가 맛있어요', '음료가 맛있어요', '가성비가 좋아요', '친절해요', '주차하기 편해요']","[82, 68, 60, 58, 19]"
엔젤북카페 강남점,"['커피가 맛있어요', '인테리어가 멋져요', '집중하기 좋아요', '친절해요', '음료가 맛있어요']","[38, 25, 22, 21, 18]"
북카페 조이,[],[]
북카페레벤,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요', '집중하기 좋아요']","[55, 29, 22, 19, 15]"
아리수북카페,"['친절해요', '대화하기 좋아요', '가성비가 좋아요', '커피가 맛있어요', '집중하기 좋아요']","[17, 10, 8, 5, 5]"
마실길북카페,[],[]
북카페 리벤,[],[]
버터북,"['빵이 맛있어요', '사진이 잘 나와요', '특별한 메뉴가 있어요', '음료가 맛있어요', '인테리어가 멋져요']","[37, 16, 15, 14, 13]"
달달한금요일,"['친절해요', '커피가 맛있어요', '음료가 맛있어요', '집중하기 좋아요', '디저트가 맛있어요']","[24, 23, 17, 13, 9]"
산돌북카페,[],[]
북카페 강남1호점,"['집중하기 좋아요', '좌석이 편해요', '커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요']","[41, 32, 25, 25, 22]"
광화풍림문스페이스본북카페,[],[]
구로구다문화북카페,[],[]
라시따 북갤러리,"['읽을만한 책이 많아요', '커피가 맛있어요', '좌석이 편해요', '음료가 맛있어요', '대화하기 좋아요']","[7, 7, 4, 4, 4]"
글풍경,[],[]
AR영어북카페,"['읽을만한 책이 많아요', '친절해요', '집중하기 좋아요', '주차하기 편해요', '가성비가 좋아요']","[29, 26, 20, 14, 10]"
새솔북카페,[],[]
삼성동북카페,[],[]
운주문고 Book Cafe,[],[]
꿈뜨락 북카페,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요', '집중하기 좋아요']","[17, 11, 6, 6, 6]"
초록북카페,[],[]
서초문화예술회관북카페,[],[]
쿡앤북,[],[]
청운효자동 주민센터북카페,[],[]
북카페파오,"['집중하기 좋아요', '커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요']","[11, 10, 9, 6, 5]"
자작나무숲 북카페,"['커피가 맛있어요', '주차하기 편해요', '음료가 맛있어요', '읽을만한 책이 많아요', '친절해요']","[30, 25, 20, 17, 17]"
푸른북카페,[],[]
당인리책발전소,"['읽을만한 책이 많아요', '집중하기 좋아요', '인테리어가 멋져요', '커피가 맛있어요', '친절해요']","[214, 173, 160, 136, 94]"
사랑해북갤러리,[],[]
더숲 초소책방,"['뷰가 좋아요', '커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '사진이 잘 나와요']","[1472, 909, 482, 392, 346]"
북카페마루,[],[]
북카페산책 상암점,"['친절해요', '음료가 맛있어요', '가성비가 좋아요', '커피가 맛있어요', '대화하기 좋아요']","[17, 14, 14, 12, 12]"
북카페산책 하늘도서관점,"['커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요', '친절해요', '뷰가 좋아요']","[15, 10, 5, 5, 4]"
20000dol북카페,[],[]
통통북카페,[],[]
금호1가동 북카페 책단지꿀단지,[],[]
커피랑도서관 반포점,[],[]
북카페숲,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '읽을만한 책이 많아요', '디저트가 맛있어요']","[38, 17, 16, 15, 14]"
새마을금고장학회북카페,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '가성비가 좋아요', '대화하기 좋아요']","[45, 31, 21, 21, 19]"
동네북카페,"['커피가 맛있어요', '인테리어가 멋져요', '읽을만한 책이 많아요', '친절해요', '대화하기 좋아요']","[19, 10, 9, 9, 7]"
커피랑도서관 당산역점,[],[]
북카페도서관 다독다독 암사종합시장점,[],[]
타인 나 자신,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '집중하기 좋아요', '읽을만한 책이 많아요']","[12, 12, 10, 8, 6]"
그림책식당,[],[]
만화살롱 유어마나,"['친절해요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '음료가 맛있어요', '사진이 잘 나와요']","[47, 36, 28, 23, 13]"
북까페사가,[],[]
까페창비,"['집중하기 좋아요', '읽을만한 책이 많아요', '음료가 맛있어요', '디저트가 맛있어요', '커피가 맛있어요']","[6, 4, 3, 2, 1]"
밀크북,"['커피가 맛있어요', '읽을만한 책이 많아요', '디저트가 맛있어요', '집중하기 좋아요', '좌석이 편해요']","[127, 98, 82, 59, 56]"
북앤카페,[],[]
북카페도서관 다독다독 1호점,[],[]
북카페산책 산학협력센터점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요', '대화하기 좋아요']","[7, 6, 4, 4, 4]"
더하늘꿈북카페,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '음료가 맛있어요', '인테리어가 멋져요']","[12, 4, 4, 3, 2]"
연의공원북카페,[],[]
aT 북카페,[],[]
나무늘보 카툰&북카페,"['읽을만한 책이 많아요', '친절해요', '좌석이 편해요', '음료가 맛있어요', '커피가 맛있어요']","[12, 9, 6, 6, 4]"
카페인북,[],[]
화전북카페,[],[]
커피랑도서관 서강대점,[],[]
북카페리비,[],[]
북카페산책 보건소점,[],[]
커피랑도서관 교대역점,[],[]
허부북카페,[],[]
물푸레북카페,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '대화하기 좋아요', '디저트가 맛있어요']","[18, 11, 9, 9, 6]"
발음북카페,"['커피가 맛있어요', '음료가 맛있어요', '가성비가 좋아요', '대화하기 좋아요', '디저트가 맛있어요']","[14, 7, 7, 7, 5]"
다누리북카페,[],[]
책다방 위숨,"['친절해요', '집중하기 좋아요', '좌석이 편해요', '인테리어가 멋져요', '커피가 맛있어요']","[6, 4, 3, 3, 2]"
북카페,[],[]
비에이블스터디카페 압구정센터,[],[]
YE북카페,[],[]
비에이블스터디카페 선유도역센터,[],[]
여민동락,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '주차하기 편해요', '대화하기 좋아요']","[17, 17, 13, 12, 12]"
종암동북카페,"['커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[22, 20, 13, 11, 10]"
산책3호점,[],[]
북카페도서관 다독다독 구천면로점,[],[]
우리동네북카페,"['커피가 맛있어요', '가성비가 좋아요', '친절해요', '대화하기 좋아요', '음료가 맛있어요']","[62, 53, 24, 14, 12]"
나임 북 카페,[],[]
클라우드 북카페,"['커피가 맛있어요', '친절해요', '읽을만한 책이 많아요', '집중하기 좋아요', '음료가 맛있어요']","[8, 8, 6, 6, 4]"
책사랑북카페,[],[]
비에이블스터디카페 서초중앙센터,[],[]
북카페,"['커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요']","[19, 10, 7, 7, 4]"
루이네북카페,[],[]
북카페다락,"['커피가 맛있어요', '가성비가 좋아요', '친절해요', '음료가 맛있어요', '대화하기 좋아요']","[44, 35, 32, 22, 13]"
화목한책빛소리북카페,[],[]
타임교육 북카페,[],[]
카페몽실,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '읽을만한 책이 많아요', '인테리어가 멋져요']","[11, 10, 8, 5, 4]"
두나미스커피 보라매점,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요', '대화하기 좋아요']","[8, 7, 6, 6, 6]"
한신휴아파트북카페,[],[]
단편집,"['커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요', '집중하기 좋아요']","[6, 5, 3, 2, 2]"
ASSOULINE,"['인테리어가 멋져요', '특별한 메뉴가 있어요', '커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요']","[11, 8, 7, 7, 6]"
커피랑도서관 스터디카페 신정교점,[],[]
북카페세모,"['음료가 맛있어요', '커피가 맛있어요', '친절해요', '집중하기 좋아요', '매장이 청결해요']","[113, 110, 100, 98, 92]"
파이키,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요', '뷰가 좋아요']","[80, 71, 69, 61, 48]"
모랫골 갤러리 북카페,[],[]
북카페 반디,[],[]
카페시우,[],[]
커피랑도서관 목동파리공원점,[],[]
북카페눈,[],[]
브라운핸즈 창비,"['집중하기 좋아요', '커피가 맛있어요', '인테리어가 멋져요', '읽을만한 책이 많아요', '좌석이 편해요']","[99, 76, 63, 56, 35]"
어반테라스 종로서적북카페,"['읽을만한 책이 많아요', '친절해요', '커피가 맛있어요', '디저트가 맛있어요', '집중하기 좋아요']","[61, 52, 49, 49, 48]"
늘라운지,[],[]
마을북카페행복한이야기,"['커피가 맛있어요', '대화하기 좋아요', '친절해요', '가성비가 좋아요', '음료가 맛있어요']","[75, 53, 50, 49, 48]"
키즈베네북카페,[],[]
북카페 뉴스타파,"['커피가 맛있어요', '친절해요', '대화하기 좋아요', '매장이 청결해요', '집중하기 좋아요']","[13, 7, 5, 4, 3]"
북카페 파랑,"['커피가 맛있어요', '친절해요', '좌석이 편해요', '인테리어가 멋져요', '집중하기 좋아요']","[19, 15, 14, 14, 14]"
중계사랑북카페,[],[]
창포원 북카페 비상,"['커피가 맛있어요', '뷰가 좋아요', '친절해요', '대화하기 좋아요', '음료가 맛있어요']","[50, 48, 29, 27, 18]"
쉴북만화카페,[],[]
북카페 이타카,[],[]
갤러리북카페 나무에새긴마음,[],[]
장미마을 꽃망울 북카페,[],[]
SBC북카페,[],[]
콩툰 동대문APM점,"['좌석이 편해요', '읽을만한 책이 많아요', '집중하기 좋아요', '가성비가 좋아요', '커피가 맛있어요']","[17, 11, 10, 5, 4]"
박진북카페,[],[]
북카페사랑ING,[],[]
산 다미아노,"['커피가 맛있어요', '대화하기 좋아요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요']","[72, 46, 32, 32, 27]"
로뎀나무밑,[],[]
심심푸리북만화카페,"['음료가 맛있어요', '가성비가 좋아요', '읽을만한 책이 많아요', '친절해요', '인테리어가 멋져요']","[7, 7, 6, 6, 3]"
미사강변 북카페,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요', '디저트가 맛있어요']","[78, 36, 21, 21, 16]"
공릉행복발전소 북카페수다,"['커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요', '대화하기 좋아요', '읽을만한 책이 많아요']","[15, 9, 6, 4, 3]"
플리텍북카페,[],[]
광교숲속마을공원북카페,[],[]
북카페밥상머리,[],[]
북카페 NC백화점 야탑점,[],[]
버터북 행궁점,"['디저트가 맛있어요', '인테리어가 멋져요', '사진이 잘 나와요', '커피가 맛있어요', '특별한 메뉴가 있어요']","[186, 94, 77, 75, 39]"
곁애,[],[]
태평4동 북카페,"['가성비가 좋아요', '커피가 맛있어요', '친절해요', '대화하기 좋아요', '화장실이 깨끗해요']","[15, 10, 9, 7, 7]"
리프레시 북&카페,[],[]
북카페 AK플라자 수원점,[],[]
쑬딴스북카페,"['읽을만한 책이 많아요', '커피가 맛있어요', '친절해요', '인테리어가 멋져요', '사진이 잘 나와요']","[8, 8, 8, 5, 5]"
커피랑도서관 압구정점,[],[]
베어카페,"['커피가 맛있어요', '인테리어가 멋져요', '뷰가 좋아요', '사진이 잘 나와요', '음료가 맛있어요']","[44, 28, 23, 21, 20]"
도봉북카페,[],[]
수리산북카페,[],[]
망우본동 북카페,[],[]
커피테라피인문학북카페,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '좌석이 편해요', '인테리어가 멋져요']","[7, 4, 3, 1, 1]"
카페소일,"['커피가 맛있어요', '친절해요', '대화하기 좋아요', '특별한 메뉴가 있어요', '음료가 맛있어요']","[59, 33, 20, 17, 16]"
북카페 시오리,[],[]
예담북카페,[],[]
끼데께데,[],[]
가린열북카페,"['커피가 맛있어요', '친절해요', '매장이 청결해요', '대화하기 좋아요', '인테리어가 멋져요']","[18, 13, 11, 9, 8]"
커피랑도서관 광명GIDC점,[],[]
마음북카페,[],[]
이음인 북카페,[],[]
커피랑도서관 양재점,[],[]
디어라이프,"['커피가 맛있어요', '친절해요', '집중하기 좋아요', '읽을만한 책이 많아요', '음료가 맛있어요']","[6, 4, 4, 2, 2]"
정글북영통점,[],[]
초콜릿책방,"['커피가 맛있어요', '친절해요', '집중하기 좋아요', '특별한 메뉴가 있어요', '읽을만한 책이 많아요']","[8, 8, 8, 7, 5]"
그린북카페,[],[]
리드인 북카페,[],[]
콩툰 대학로점,"['친절해요', '가성비가 좋아요', '커피가 맛있어요', '집중하기 좋아요', '읽을만한 책이 많아요']","[21, 21, 18, 16, 15]"
공간바람숲 북카페,[],[]
도란도란북카페,[],[]
서경북카페,"['커피가 맛있어요', '음료가 맛있어요', '가성비가 좋아요', '대화하기 좋아요', '좌석이 편해요']","[78, 55, 27, 11, 10]"
북카페히스토리,[],[]
그레이스북카페,[],[]
공덕골아름드리 북카페모모,[],[]
사이에 Tea n Book,[],[]
커피랑도서관 신정1호점 스터디카페,[],[]
성서대북카페,"['친절해요', '읽을만한 책이 많아요', '음료가 맛있어요', '가성비가 좋아요', '집중하기 좋아요']","[7, 3, 2, 1, 1]"
바오밥 북카페,[],[]
해피북카페,[],[]
북까페,[],[]
북카페,[],[]
신마석 신도숲속북카페,[],[]
길담서원,[],[]
커피랑도서관 선릉역점,[],[]
드림155북카페,[],[]
다독다독북카페PARA,[],[]
카페책속의한줄,[],[]
PIT A PAT,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요', '가성비가 좋아요']","[43, 27, 25, 24, 16]"
새별이 북 카페,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '뷰가 좋아요', '음료가 맛있어요']","[20, 7, 5, 5, 3]"
아이파크북카페,[],[]
매여울북카페,[],[]
삼삼오오커피공작소,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[12, 11, 6, 5, 5]"
북앤레스트,"['집중하기 좋아요', '좌석이 편해요', '읽을만한 책이 많아요', '인테리어가 멋져요', '커피가 맛있어요']","[76, 51, 46, 45, 34]"
북카페W,[],[]
휴앤안 커피,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '대화하기 좋아요', '인테리어가 멋져요']","[10, 9, 7, 6, 3]"
커피랑도서관 분당서현점,[],[]
산책,[],[]
드림북카페,[],[]
더플롯커피 2호점,"['커피가 맛있어요', '음료가 맛있어요', '집중하기 좋아요', '디저트가 맛있어요', '좌석이 편해요']","[16, 14, 7, 6, 5]"
커피랑도서관 강남구청점,[],[]
북카페 테아,[],[]
더 미디엄,[],[]
커피랑도서관 광명점,[],[]
더불어꿈협동조합 북카페,[],[]
대원포레지움 북카페,[],[]
24시 프리카페 성균관대점,[],[]
대한문화예술공사,[],[]
better than yesterday,"['커피가 맛있어요', '집중하기 좋아요', '인테리어가 멋져요', '친절해요', '읽을만한 책이 많아요']","[60, 58, 56, 43, 37]"
인문학카페 메아리,[],[]
스타벅스 올림픽공원북2문점,"['커피가 맛있어요', '매장이 청결해요', '친절해요', '음료가 맛있어요', '디저트가 맛있어요']","[468, 203, 197, 147, 99]"
커피빈 올림픽공원북2문앞점,"['커피가 맛있어요', '친절해요', '매장이 청결해요', '음료가 맛있어요', '대화하기 좋아요']","[133, 56, 48, 47, 39]"
비에이블스터디카페 청담센터,[],[]
타샤의책방,[],[]
자북스터디카페,[],[]
PB인천공항북카페,[],[]
와우살롱,[],[]
달빛정거장,[],"[19, 17, 16, 15, 10]"
심심푸리 목동점,[],[]
24시스터디카페,[],[]
즐거운다락방,[],[]
커피랑도서관 범계역점,[],[]
커피랑도서관 세종대점,[],[]
아름다운북앤커피,[],[]
즐거운다락방부천시청점,[],"[11, 3, 3, 3, 2]"
커피랑도서관 송파나루역점,[],[]
베세토,[],[]
커피랑도서관 가락센터점,[],[]
커피랑도서관 잠실나루점,[],[]
79파운야드 동탄북광장점,"['빵이 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[69, 38, 28, 27, 22]"
발전북갤러리,[],[]
늘봄북스 양재도서관점,[],[]
문화공간 포엠하우스,[],[]
커피랑도서관 마천사거리점,[],[]
이프렌딩,[],[]
리플릭스,[],[]
커피랑도서관 루프탑 GreenTop,[],[]
만화카페통툰 안암점,"['친절해요', '읽을만한 책이 많아요', '가성비가 좋아요', '좌석이 편해요', '음료가 맛있어요']","[6, 3, 3, 2, 2]"
커피랑도서관 가락시장역점,[],[]
카페오아시아,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '대화하기 좋아요', '음료가 맛있어요']","[13, 6, 4, 4, 2]"
동네책방,"['커피가 맛있어요', '친절해요', '대화하기 좋아요', '음료가 맛있어요', '읽을만한 책이 많아요']","[21, 20, 12, 11, 7]"
책으로가는문,"['인테리어가 멋져요', '읽을만한 책이 많아요', '집중하기 좋아요', '좌석이 편해요', '커피가 맛있어요']","[69, 57, 42, 35, 22]"
배고픈사자,[],[]
로브빈스커피,[],[]
주책,[],[]
커피랑도서관 정자카페거리점,[],[]
언더스탠드,[],[]
청년이음 북카페 & 공방,"['커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[17, 13, 12, 11, 3]"
커피랑도서관 올림픽공원점,[],[]
커피랑도서관 은행사거리점,[],[]
