place,tag_title,tag_count
컵 오브 컴포트,"['친절해요', '매장이 청결해요', '집중하기 좋아요', '커피가 맛있어요', '좌석이 편해요']","[8, 6, 6, 5, 3]"
피터패트,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요', '인테리어가 멋져요', '음료가 맛있어요']","[164, 136, 83, 76, 70]"
도로도로커피숍,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요']","[80, 62, 49, 44, 42]"
LITITCOFFEE,"['커피가 맛있어요', '친절해요', '매장이 청결해요', '집중하기 좋아요', '음료가 맛있어요']","[23, 15, 15, 14, 11]"
달콤쌉싸롱,"['커피가 맛있어요', '가성비가 좋아요', '집중하기 좋아요', '친절해요', '음료가 맛있어요']","[52, 36, 31, 28, 27]"
커피나무 랩,"['커피가 맛있어요', '매장이 청결해요', '친절해요', '디저트가 맛있어요', '집중하기 좋아요']","[40, 26, 24, 21, 18]"
펠어커피 상도점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요', '대화하기 좋아요']","[24, 21, 19, 13, 10]"
케이크팝,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[87, 61, 46, 27, 27]"
카페비엔,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '음료가 맛있어요', '매장이 청결해요']","[214, 143, 113, 99, 86]"
할리스 노량진역점,"['커피가 맛있어요', '집중하기 좋아요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[107, 39, 36, 31, 31]"
그루비,"['커피가 맛있어요', '매장이 청결해요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요']","[19, 8, 7, 5, 5]"
휘게,"['커피가 맛있어요', '대화하기 좋아요', '디저트가 맛있어요', '인테리어가 멋져요', '좌석이 편해요']","[15, 12, 10, 7, 6]"
위드커피,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요']","[38, 30, 26, 21, 16]"
eea cafe,"['커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '친절해요']","[30, 23, 19, 18, 16]"
엔제리너스 노량진점,"['커피가 맛있어요', '음료가 맛있어요', '매장이 청결해요', '집중하기 좋아요', '디저트가 맛있어요']","[245, 102, 96, 84, 83]"
멜로드,"['디저트가 맛있어요', '커피가 맛있어요', '친절해요', '음료가 맛있어요', '가성비가 좋아요']","[16, 14, 13, 11, 8]"
카페필림,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '집중하기 좋아요', '음료가 맛있어요']","[17, 14, 6, 6, 4]"
달쿠마,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '친절해요', '특별한 메뉴가 있어요']","[27, 18, 12, 11, 7]"
커피상상,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '대화하기 좋아요', '가성비가 좋아요']","[10, 7, 6, 6, 5]"
블루브릭,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요', '매장이 청결해요']","[33, 17, 17, 14, 7]"
이디야커피 노들점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '가성비가 좋아요', '디저트가 맛있어요']","[75, 36, 22, 16, 15]"
투썸플레이스 숭실대점,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '매장이 청결해요', '친절해요']","[167, 161, 108, 76, 75]"
초록상어,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '대화하기 좋아요']","[88, 38, 34, 25, 23]"
Gene coffee,[],[]
카페쓰어,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요', '가성비가 좋아요']","[11, 8, 6, 5, 5]"
밍구네다방,"['커피가 맛있어요', '가성비가 좋아요', '집중하기 좋아요', '음료가 맛있어요', '친절해요']","[40, 23, 18, 15, 12]"
커피팩토리쏘 공장점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요', '디저트가 맛있어요']","[55, 16, 11, 9, 8]"
빅토리아가든,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요', '인테리어가 멋져요']","[22, 8, 8, 5, 4]"
카페 우붓,"['커피가 맛있어요', '인테리어가 멋져요', '사진이 잘 나와요', '디저트가 맛있어요', '친절해요']","[15, 11, 8, 7, 6]"
즐거운커피,"['커피가 맛있어요', '가성비가 좋아요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요']","[16, 9, 7, 7, 5]"
짙은,[],[]
카페 비러브드,[],[]
르샤,[],[]
토크넌센스,"['커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '대화하기 좋아요', '디저트가 맛있어요']","[12, 7, 5, 4, 3]"
프랑세즈,"['빵이 맛있어요', '친절해요', '특별한 메뉴가 있어요', '커피가 맛있어요', '매장이 청결해요']","[374, 145, 92, 91, 66]"
터방내,"['커피가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '대화하기 좋아요', '친절해요']","[77, 50, 48, 44, 40]"
