place,tag_title,tag_count
카페 공명,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '대화하기 좋아요']","[358, 226, 213, 160, 130]"
뷰클런즈,"['인테리어가 멋져요', '친절해요', '커피가 맛있어요', '음료가 맛있어요', '매장이 청결해요']","[1227, 968, 959, 670, 669]"
어글리베이커리,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', '가성비가 좋아요']","[2133, 853, 376, 223, 111]"
가배도 신논현,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '매장이 청결해요']","[64, 60, 43, 34, 19]"
1984,"['인테리어가 멋져요', '커피가 맛있어요', '친절해요', '매장이 청결해요', '집중하기 좋아요']","[84, 81, 56, 44, 42]"
맷차,"['음료가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요', '디저트가 맛있어요', '인테리어가 멋져요']","[578, 487, 350, 319, 232]"
앤트러사이트 서교점,"['커피가 맛있어요', '인테리어가 멋져요', '뷰가 좋아요', '집중하기 좋아요', '매장이 청결해요']","[197, 134, 101, 96, 65]"
카페 노티드 청담,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '인테리어가 멋져요', '커피가 맛있어요']","[4507, 1511, 1141, 921, 869]"
어니언 성수,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[280, 192, 124, 91, 64]"
마일스톤 커피,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요']","[654, 312, 265, 207, 138]"
청수당,"['인테리어가 멋져요', '디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '사진이 잘 나와요']","[242, 238, 197, 163, 152]"
카페다오,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요']","[409, 318, 251, 217, 210]"
키에리,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '커피가 맛있어요', '음료가 맛있어요']","[656, 316, 215, 212, 120]"
올드페리도넛,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', '커피가 맛있어요']","[1530, 541, 384, 254, 244]"
카페겸,"['커피가 맛있어요', '친절해요', '뷰가 좋아요', '매장이 청결해요', '음료가 맛있어요']","[104, 56, 50, 44, 43]"
어니언 안국,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요', '친절해요', '사진이 잘 나와요']","[1885, 1217, 1170, 831, 556]"
아키비스트 서촌,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요']","[1435, 435, 391, 347, 322]"
썸띵어바웃커피,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '대화하기 좋아요']","[403, 242, 110, 104, 91]"
빈터커피로스터스,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요']","[175, 91, 56, 50, 49]"
오츠커피 용산점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '특별한 메뉴가 있어요', '디저트가 맛있어요']","[504, 169, 166, 110, 81]"
블루보틀 삼청 카페,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요', '매장이 청결해요', '뷰가 좋아요']","[1193, 466, 386, 385, 377]"
서울페이스트리 연남점,"['빵이 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요', '친절해요', '인테리어가 멋져요']","[272, 99, 78, 72, 45]"
맥심플랜트,"['커피가 맛있어요', '인테리어가 멋져요', '매장이 청결해요', '대화하기 좋아요', '좌석이 편해요']","[882, 554, 356, 281, 275]"
학림,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요', '대화하기 좋아요']","[418, 244, 152, 135, 130]"
오우도,"['커피가 맛있어요', '인테리어가 멋져요', '매장이 청결해요', '음료가 맛있어요', '대화하기 좋아요']","[125, 90, 57, 50, 47]"
포비 광화문,"['빵이 맛있어요', '커피가 맛있어요', '친절해요', '특별한 메뉴가 있어요', '매장이 청결해요']","[1360, 677, 426, 275, 243]"
피오니,"['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요', '친절해요']","[533, 155, 105, 103, 98]"
오츠커피 마포점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '특별한 메뉴가 있어요', '디저트가 맛있어요']","[269, 90, 82, 65, 42]"
카페 산아래,"['커피가 맛있어요', '뷰가 좋아요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요']","[303, 289, 213, 167, 118]"
당인리책발전소,"['읽을만한 책이 많아요', '집중하기 좋아요', '인테리어가 멋져요', '커피가 맛있어요', '친절해요']","[214, 173, 160, 136, 94]"
