,place,rate,address,store_date,store_time,price
0,청맥살롱,4.81,서울 동작구 서달로 161-1 2층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '12:00 - 21:00', '12:00 - 21:00']",4000.0
1,블루포트 중앙대학교102관점,4.37,서울 동작구 흑석로 84 중앙대학교 102관,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '정기휴무 (매주 일요일)']",1800.0
2,모코커피,4.42,서울 동작구 만양로 19 단지내상가 1층 107호,['매일'],['10:00 - 20:00'],3500.0
3,중앙대310관 카페,4.4,서울 동작구 흑석로 84,[],[],1800.0
4,카페아드리아,4.31,서울 동작구 서달로 142,[],[],-1.0
5,LITITCOFFEE,4.55,서울 동작구 상도로47바길 48 1층 릿잇커피,['매일'],['11:00 - 새벽 01:00'],3800.0
6,카페필림,4.49,서울 동작구 흑석로 8-1,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00']",3000.0
7,흑석커피,4.49,서울 동작구 서달로14가길 5 1층,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '정기휴무 (매주 일요일)']",1800.0
8,커피나무 랩,4.48,서울 동작구 상도로53길 65 커피나무빌딩 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:30 - 23:00', '08:30 - 23:00']",4300.0
9,탐앤탐스 중앙대점,4.34,서울 동작구 흑석로 105 2층,['매일'],['08:00 - 23:00\n22:30 라스트오더'],-1.0
10,엘에스와이랩,4.63,서울 동작구 노량진로 250,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '10:00 - 18:00', '10:00 - 18:00']",2500.0
11,하드앤빈스,4.32,서울 영등포구 63로 45,['매일'],['07:30 - 22:00'],5000.0
12,커피킹,4.71,서울 동작구 흑석로 95-1 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00']",1500.0
13,메가MGC커피 숭실대입구역점,4.52,서울 동작구 상도로 362-1,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '09:00 - 22:00']",-1.0
14,문커피,4.67,서울 동작구 상도로47가길 48,['매일'],['09:30 - 22:00'],-1.0
15,아이스조아 상도6호점,4.43,서울 동작구 매봉로 66 1층,[],[],400.0
16,모코커피,4.53,서울 동작구 서달로13길 11-15,['매일'],['10:00 - 22:00'],-1.0
17,가성비,4.37,서울 동작구 사당로 2 서쪽 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '정기휴무 (매주 일요일)']",2000.0
18,이디야커피 상도중앙점,4.38,서울 동작구 만양로 17 1층 101 102호,['매일'],['08:00 - 22:00\n21:30 라스트오더'],-1.0
19,카페린91,4.52,서울 동작구 현충로14길 2 1층,['매일'],['09:00 - 20:00'],3500.0
