,place,address,store_date,store_time
0,랭스터디카페 중앙대점,서울 동작구 흑석로 110 3층 랭스터디카페,['매일'],['00:00 - 24:00']
1,랭스터디카페 숭실대점,서울 동작구 상도로 357 강남아파트상가 2층,['매일'],['09:30 - 23:00']
2,루크스터디카페,서울 동작구 흑석로 79 3층 4층,['매일'],['00:00 - 24:00']
3,꿈날다스터디카페,서울 동작구 서달로 158 2층,['매일'],['00:00 - 24:00']
4,사계스터디카페 중앙대점,서울 동작구 서달로 166 3층,['매일'],['00:00 - 24:00']
5,아늑스터디카페 상도점,서울 동작구 만양로 11 4층,['매일'],['00:00 - 24:00']
6,어라운드스터디카페 상도점,서울 동작구 상도로 218 성현빌딩 3층,['매일'],['00:00 - 24:00']
7,온더데스크스터디카페 중앙대점,서울 동작구 흑석로 111,['매일'],['00:00 - 24:00']
8,감성스터디카페 숭실대입구역점,서울 동작구 상도로37길 60 4층 감성스터디카페,['매일'],['00:00 - 24:00']
9,타임유스터디카페 상도점,서울 동작구 만양로 16,['매일'],['00:00 - 24:00']
10,올리브나무 스터디카페,서울 동작구 상도로30길 40 상도커뮤니티복합문화센터 1층 올리브나무 스터디카페,['매일'],['08:00 - 새벽 02:00']
11,마이플레이스 스터디카페 봉천점,"서울 관악구 청림3길 10 서희스타힐즈 상가 1층, 서울대입구역 7번 출구에서 994m에 위치하고 있습니다.",['매일'],['00:00 - 24:00']
12,플랜트스터디카페 상도라운지,서울 동작구 상도로31길 19 브라운스톤상도상가 2층,['매일'],['00:00 - 24:00']
13,위넌스터디카페 숭실대점,서울 동작구 상도로37길 81 2층,['매일'],['00:00 - 24:00']
14,에이치 스터디카페,서울 동작구 흑석로 77 지하1층,['매일'],['07:00 - 22:30']
15,리얼스터디카페 이촌1호점,서울 용산구 이촌로 280 지하 1층,['매일'],['00:00 - 24:00']
16,작심스터디카페 숭실대점,서울 동작구 상도로60길 6 2층,['매일'],['00:00 - 24:00']
17,공부하는 스터디카페,서울 동작구 장승배기로10길 49 서현빌딩,['매일'],['00:00 - 24:00']
18,이은스터디카페 숭실대센터,"서울 동작구 상도로62길 45 3층,4층",['매일'],['00:00 - 24:00']
19,24시간 스터디카페 공유,서울 동작구 상도로61길 35 2층 스터디카페 공유,['매일'],['00:00 - 24:00']
20,초월스터디카페 상도점,서울 동작구 상도로 204 지하1층 초월스터디카페 상도점,['매일'],['00:00 - 24:00']
21,엘더스터디카페 이촌점,서울 용산구 이촌로 276 지하1층 엘더스터디카페,['매일'],['00:00 - 24:00']
